Company,Industry,Sub-Vertical,Country,Size,Revenue,Decision Maker,Decision Maker Title,Deal Size,Priority,Fit Score,Website,Pain Points,Notes,Use Case,Current Competitor,Budget Cycle
Citigroup,Financial Services,Global Banking,US,50K+ employees,$75B+,Global Head of Innovation,,$1M-$2M,critical,91,citigroup.com,Multi-jurisdiction contracts; Trade finance; Cross-border compliance,Operates in 160 countries - complex cross-border contract needs,"Trade finance verification, cross-border contract compliance",,
Vanguard,Financial Services,Asset Management,US,10K-50K employees,$8T AUM,CIO,,$500K-$1M,critical,90,vanguard.com,Index fund agreements; Client account contracts; Custody,Low-cost leader needs efficient contract automation,"Client account agreements, fund prospectus verification",,
Moderna,Healthcare,Biotechnology,US,1K-10K employees,$20B+,CTO,,$200K-$400K,high,90,modernatx.com,mRNA licensing; Research partnerships; Manufacturing scale-up,Fast-growing biotech with complex IP portfolio,"IP licensing verification, partnership contract management",,
Cerner (Oracle Health),Healthcare,Health IT/EHR,US,10K-50K employees,$6B+,VP of Engineering,,$300K-$500K,high,90,oracle.com/health,Post-Oracle acquisition integration; Contract modernization,Oracle acquisition creates tech stack upgrade opportunity,EHR contract verification module,,
Humana,Healthcare,Health Insurance,US,50K+ employees,$90B+,Chief Digital Officer,,$400K-$600K,high,90,humana.com,Medicare Advantage contracts; Provider agreements,,"Medicare contract compliance, provider network integrity",,
Square (Block),Financial Services,Payment Processing,US,10K-50K employees,$20B+,CTO Square,,$300K-$500K,high,90,squareup.com,Merchant contracts; Cash App user agreements; Bitcoin integration,Cash App + Bitcoin focus = crypto-native opportunity,"Merchant agreement automation, Cash App contract verification",,
Wells Fargo,Financial Services,Commercial Banking,US,50K+ employees,$80B+,EVP of Technology,,$800K-$1.5M,critical,89,wellsfargo.com,Rebuilding trust post-scandal; Compliance rigor; Loan contracts,Consent orders require bulletproof audit trails - perfect fit,"Enhanced contract compliance, regulatory audit trails",,
Medtronic,Healthcare,Medical Devices,US,50K+ employees,$30B+,VP of Supply Chain,,$400K-$600K,high,89,medtronic.com,Device supplier contracts; Hospital agreements; FDA compliance,Global medical device leader with regulatory complexity,"Supplier quality agreements, hospital purchasing contracts",,
Teladoc Health,Healthcare,Telemedicine,US,1K-10K employees,$2.5B+,CTO,,$150K-$300K,high,88,teladoc.com,Provider contracts; Patient consent; Multi-state licensing,Virtual care leader with complex provider network,"Provider agreement verification, patient consent management",,
State Street,Financial Services,Custody/Fund Services,US,10K-50K employees,$4T AUM,Chief Digital Officer,,$500K-$800K,high,88,statestreet.com,Custody agreements; Fund administration; Securities lending,Custody bank with massive contract processing needs,"Custody agreement verification, securities lending contracts",,
PayPal,Financial Services,Payment Processing,US,10K-50K employees,$30B+,SVP of Platform,,$400K-$600K,high,88,paypal.com,User agreements; Merchant contracts; Cross-border compliance,430M active accounts - massive user agreement volume,"User agreement verification, merchant contract automation",,
"Berkshire Hathaway (GEICO, Gen Re)",Financial Services,Insurance,US,50K+ employees,$300B+,CIO GEICO,,$500K-$1M,critical,87,berkshirehathaway.com,Policy contracts; Reinsurance agreements; Claims processing,GEICO + Gen Re = massive policy and reinsurance contract volume,"Policy contract verification, reinsurance treaty integrity",,
Boston Scientific,Healthcare,Medical Devices,US,10K-50K employees,$12B+,Director of Procurement,,$200K-$400K,high,87,bostonscientific.com,Supplier agreements; Clinical trial contracts; Regulatory submissions,,"Supplier contract integrity, clinical data verification",,
State Farm,Financial Services,Insurance,US,50K+ employees,$80B+,VP of Innovation,,$400K-$600K,high,86,statefarm.com,83M policies; Claims contracts; Agent agreements,Largest P&C insurer in US - huge contract volume,"Policy issuance verification, claims contract integrity",,
MetLife,Financial Services,Life Insurance,US,10K-50K employees,$70B+,SVP of Digital,,$400K-$600K,high,86,metlife.com,Life insurance policies; Annuity contracts; Group benefits,Global presence in 40+ countries - complex contract landscape,"Life policy verification, annuity contract integrity",,
Allstate,Financial Services,Insurance,US,10K-50K employees,$50B+,Chief Technology Officer,,$300K-$500K,high,85,allstate.com,Policy automation; Claims processing; Agent networks,,"Policy contract automation, claims verification",,
